C-RS2,C-LS2,C-RMFG,C-LMFG,C-RInsula,C-LInsula,C-AMCC
-0.014810619,-0.07704724,0.067562577,0.227758216,-0.058383184,0.079173285,-0.035551073
-0.054385261,-0.174047816,0.251336243,0.029484727,-0.093125875,-0.044055515,-0.070278249
0.012197717,0.085110534,0.203579526,-0.165785081,-0.069483173,-0.026795297,-0.021906143
0.22318979,0.276841315,-0.024760579,-0.056958165,0.05349108,0.009778919,-0.121418751
0.161972423,0.165578404,-0.138279055,-0.065225607,0.231783921,0.121158418,-0.186957545
0.309540961,0.071535188,-0.069856153,0.188790926,-0.014088304,-0.057899477,0.038537383
0.122808298,-0.005117128,0.054841214,0.257689263,-0.046422492,-0.091803809,0.032952614
0.021364945,-0.065223848,-0.043174723,0.028191663,-0.160283615,-0.05111247,-0.045170626
-0.079628347,-0.06097036,0.107891884,0.169119132,0.111097866,0.156490765,-0.007928029
-0.350551621,-0.387897995,0.061742103,0.232091989,0.091243445,0.008377674,-0.061146804
-0.154255794,-0.270719651,0.118586594,0.008452701,-0.144367514,-0.164464449,0.04082287
-0.002414013,0.004801178,0.13194312,0.053276878,-0.274065181,0.09234801,0.04373862
0.077886021,0.137984934,0.205956473,0.196265855,-0.097996147,-0.017354077,0.152540931
-0.209497359,-0.124194371,0.117015184,0.000911519,-0.158577228,0.261626956,-0.072496113
-0.232477978,-0.374992813,0.019319588,-0.130218864,-0.061517276,-0.146541525,-0.088640128
-0.148526475,-0.495744946,0.037606697,-0.202846136,0.126931274,-0.061110021,-0.083501371
-0.002875341,-0.321181233,-0.195143988,-0.257794685,0.191831037,0.010230538,0.060056294
-0.057013624,-0.104813254,-0.017779263,-0.320766358,0.117037534,-0.200220166,0.075936078
0.106625854,0.276952649,0.024981082,-0.201070151,0.278227509,0.190214618,0.157260817
0.01352688,0.014839791,-0.182551363,-0.379687319,0.384199013,0.212453719,0.077973952
0.160880637,0.025127412,-0.229202678,-0.252720308,0.310531915,0.044829722,0.165142771
